,Region,TotalTest,Positive,UpdateDate,TestPerMillion,PositivePerThousand
0, Alberta,"36,174",486,486,"8,197",13.4
1, British Columbia,"31,739",659,659,"6,210",21
2, Manitoba,"5,606",36,36,"2,565",4.8
3, New Brunswick,"1,550",26,26,"1,987",50
4, Newfoundland,791,4,4,"1,517",5.1
5, Northwest Territories,299,1,1,"6,659",3.3
6, Nova Scotia,"2,349",41,41,"2,403",17
7, Ontario,"35,635",667,667,"2,422",33
8, Prince Edward Island,167,2,2,"1,056",12
9, Quebec,"33,483","1,629","1,629","3,922",49
10, Saskatchewan,"6,270",86,86,"5,306",13.7
11, Yukon,398,,,"9,689",
12, Emilia-Romagna,"42,395","10,816","10,816","9,507",255
13, Liguria,"7,304","2,567","2,567","4,710",351
14, Lombardy,"87,713","34,889","34,889","8,718",398
15, Marche,"8,623","3,114","3,114","5,653",361
16, Piedmont,"18,054","6,534","6,534","4,144",362
17, Tuscany,"20,952","3,226","3,226","5,618",154
18, Veneto,"79,759","6,935","6,935","16,258",87
19, Tokyo,"2,087",212,212,150,102
20, California,"77,800","3,006","3,006","1,969",39
21, Florida,"29,114","2,484","2,484","1,356",85
22, New York,"122,104","37,258","37,258","6,277",305
23, Washington,"46,380","3,207","3,207","6,091",69
