,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
22,Chile,"6,501",+529,65 ,+8,"1,571","4,865",70,340.0,3.0,72797.0,3808.0
23,Norway,"6,314",+95,113 ,+5,32,"6,169",70,1165.0,21.0,123170.0,22720.0
24,Australia,"6,203",+51,53 ,+2,"3,141","3,009",74,243.0,2.0,338346.0,13269.0
25,Poland,"5,955",+380,181 ,+7,318,"5,456",160,157.0,5.0,118295.0,3126.0
26,Peru,"5,897",+641,169 ,+31,"1,569","4,159",130,179.0,5.0,56681.0,1719.0
27,Denmark,"5,819",+184,247 ,+10,"1,773","3,799",113,1005.0,43.0,64731.0,11176.0
28,Czechia,"5,732",+163,119 ,+7,346,"5,267",98,535.0,11.0,114854.0,10725.0
29,Japan,"5,530",+183,99 , ,685,"4,746",109,44.0,0.8,64387.0,509.0
30,Romania,"5,467",+265,270 ,+22,729,"4,468",183,284.0,14.0,55430.0,2881.0
31,Pakistan,"4,695",+206,66 ,+1,727,"3,902",45,21.0,0.3,54706.0,248.0
32,Malaysia,"4,346",+118,70 ,+3,"1,830","2,446",69,134.0,2.0,69675.0,2153.0
33,Philippines,"4,195",+119,221 ,+18,140,"3,834",1,38.0,2.0,24500.0,224.0
34,Saudi Arabia,"3,651",+364,47 ,+3,685,"2,919",57,105.0,1.0,115585.0,3320.0
35,Indonesia,"3,512",+219,306 ,+26,282,"2,924", ,13.0,1.0,17679.0,65.0
36,Mexico,"3,441",+260,194 ,+20,633,"2,614",89,27.0,2.0,31492.0,244.0
37,UAE,"3,360",+370,16 ,+2,418,"2,926",1,340.0,2.0,593095.0,59967.0
38,Luxembourg,"3,223",+108,54 ,+2,500,"2,669",30,5149.0,86.0,28273.0,45166.0
39,Serbia,"3,105",+238,71 ,+5,118,"2,916",136,355.0,8.0,14240.0,1630.0
40,Panama,"2,974",+222,74 ,+8,17,"2,883",104,689.0,17.0,11776.0,2729.0
41,Finland,"2,769",+164,48 ,+6,300,"2,421",82,500.0,9.0,41200.0,7436.0
42,Dominican Republic,"2,620",+271,126 ,+8,98,"2,396",147,242.0,12.0,7936.0,732.0
43,Qatar,"2,512",+136,6 , ,227,"2,279",37,872.0,2.0,45339.0,15737.0
44,Colombia,"2,473",+250,80 ,+11,197,"2,196",85,49.0,2.0,37593.0,739.0
45,Thailand,"2,473",+50,33 ,+1,"1,013","1,427",61,35.0,0.5,71860.0,1030.0
46,Ukraine,"2,203",+311,69 ,+12,61,"2,073",33,50.0,2.0,23522.0,538.0
47,Singapore,"2,108",+198,7 ,+1,492,"1,609",29,360.0,1.0,72680.0,12423.0
48,Greece,"2,011",+56,92 ,+5,269,"1,650",77,193.0,9.0,35532.0,3409.0
49,South Africa,"2,003",+69,24 ,+6,410,"1,569",7,34.0,0.4,73028.0,1231.0
50,Belarus,"1,981",+495,19 ,+3,169,"1,793",72,210.0,2.0,53000.0,5609.0
51,Argentina,"1,975",+81,82 ,+3,375,"1,518",96,44.0,2.0,16379.0,362.0
52,Egypt,"1,794",+95,135 ,+17,384,"1,275", ,18.0,1.0,25000.0,244.0
53,Algeria,"1,761",+95,256 ,+21,405,"1,100",46,40.0,6.0,3359.0,77.0
54,Iceland,"1,675",+27,7 ,+1,751,917,11,4909.0,21.0,34125.0,100002.0
55,Croatia,"1,495",+88,21 ,+1,231,"1,243",34,364.0,5.0,14612.0,3559.0
56,Morocco,"1,448",+74,107 ,+10,122,"1,219",1,39.0,3.0,7239.0,196.0
57,Moldova,"1,438",+149,29 , ,56,"1,353",80,356.0,7.0,6271.0,1555.0
58,New Zealand,"1,283",+44,2 ,+1,373,908,5,266.0,0.4,55685.0,11548.0
59,Iraq,"1,279",+47,70 ,+1,550,659, ,32.0,2.0,32158.0,800.0
60,Estonia,"1,258",+51,24 , ,93,"1,141",9,948.0,18.0,27883.0,21019.0
61,Hungary,"1,190",+210,77 ,+11,112,"1,001",17,123.0,8.0,29948.0,3100.0
62,Slovenia,"1,160",+36,45 ,+2,137,978,36,558.0,22.0,33047.0,15896.0
63,Lithuania,999,+44,22 ,+6,54,923,14,367.0,8.0,36051.0,13243.0
64,Kuwait,993,+83,1 , ,123,869,26,233.0,0.2, , 
65,Azerbaijan,991,+65,10 ,+1,159,822,27,98.0,1.0,61342.0,6050.0
66,Hong Kong,990,+16,4 , ,309,677,15,132.0,0.5,96709.0,12900.0
67,Armenia,937,+16,12 ,+2,149,776,30,316.0,4.0,6081.0,2052.0
68,Bahrain,925,+38,6 ,+1,539,380,3,544.0,4.0,57681.0,33899.0
69,Bosnia and Herzegovina,901,+43,36 ,+1,129,736,4,275.0,11.0,6911.0,2106.0
70,Cameroon,820,+17,12 , ,98,710, ,31.0,0.5, , 
71,Kazakhstan,812,+31,10 ,+2,64,738,21,43.0,0.5,61955.0,3300.0
72,Slovakia,715,+14,2 , ,23,690,5,131.0,0.4,22957.0,4205.0
73,Diamond Princess,712, ,11 , ,619,82,10, , , , 
74,North Macedonia,711,+48,32 ,+2,41,638,15,341.0,15.0,6571.0,3154.0
75,Tunisia,671,+28,25 , ,25,621,78,57.0,2.0,10087.0,853.0
76,Bulgaria,635,+17,25 ,+1,54,556,33,91.0,4.0,18502.0,2663.0
77,Uzbekistan,624,+42,3 , ,42,579,8,19.0,0.09,70000.0,2091.0
78,Latvia,612,+23,3 , ,16,593,3,324.0,2.0,26656.0,14132.0
79,Lebanon,609,+27,20 ,+1,76,513,28,89.0,3.0,13530.0,1982.0
80,Andorra,601,+18,26 ,+1,71,504,17,7778.0,337.0,1673.0,21653.0
81,Cyprus,595,+31,10 , ,58,527,11,493.0,8.0,16308.0,13507.0
82,Cuba,564,+49,15 , ,51,498,11,50.0,1.0,12023.0,1061.0
83,Costa Rica,558,+19,3 , ,42,513,13,110.0,0.6,6298.0,1236.0
84,Afghanistan,521,+37,15 , ,32,474, ,13.0,0.4, , 
85,Oman,484,+27,3 , ,109,372,3,95.0,0.6, , 
86,Ivory Coast,480,+36,3 , ,54,423, ,18.0,0.1, , 
87,Uruguay,473,+17,7 , ,206,260,13,136.0,2.0,6856.0,1974.0
88,Burkina Faso,448,+5,26 ,+2,149,273, ,21.0,1.0, , 
89,Niger,438,+28,11 , ,41,386, ,18.0,0.5,4298.0,178.0
90,Bangladesh,424,+94,27 ,+6,33,364,1,3.0,0.2,7359.0,45.0
91,Albania,416,+7,23 , ,182,211,7,145.0,8.0,3385.0,1176.0
92,Channel Islands,398,+37,9 ,+1,40,349, ,2289.0,52.0,1157.0,6655.0
93,Honduras,382,+39,23 , ,7,352,10,39.0,2.0,1600.0,162.0
94,Taiwan,382,+2,6 ,+1,91,285, ,16.0,0.3,43886.0,1843.0
95,Réunion,382,+20, , ,40,342,3,427.0, , , 
96,Ghana,378, ,6 , ,4,368,2,12.0,0.2,37405.0,1204.0
97,Jordan,372, ,7 , ,170,195,5,36.0,0.7,17000.0,1666.0
98,Malta,350,+13,2 , ,16,332,4,793.0,5.0,13732.0,31100.0
99,San Marino,344,+11,34 , ,50,260,14,10138.0,1002.0,846.0,24933.0
100,Mauritius,318,+4,9 ,+2,23,286,3,250.0,7.0,6730.0,5292.0
101,Nigeria,305,+17,7 , ,58,240,2,1.0,0.03,5000.0,24.0
102,Kyrgyzstan,298,+18,5 ,+1,35,258,5,46.0,0.8,9618.0,1474.0
103,Bolivia,268,+4,19 ,+1,2,247,3,23.0,2.0,591.0,51.0
104,Palestine,267,+4,2 ,+1,45,220, ,52.0,0.4,16068.0,3150.0
105,Senegal,265,+15,2 , ,137,126,1,16.0,0.1, , 
106,Montenegro,257,+5,2 , ,4,251,7,409.0,3.0,2329.0,3708.0
107,Vietnam,257,+2, , ,144,113,8,3.0, ,118807.0,1221.0
108,Georgia,234,+16,3 , ,54,177,6,59.0,0.8,3271.0,820.0
109,DRC,215,+35,20 ,+2,13,182, ,2.0,0.2, , 
110,Guinea,212,+18, , ,15,197, ,16.0, , , 
111,Isle of Man,201,+11,1 , ,103,97,11,2364.0,12.0,1934.0,22744.0
112,Mayotte,191,+7,2 , ,50,139,4,700.0,7.0,1300.0,4765.0
113,Sri Lanka,190, ,7 , ,54,129,5,9.0,0.3,3248.0,152.0
114,Kenya,189,+5,7 , ,22,160,2,4.0,0.1,5278.0,98.0
115,Faeroe Islands,184, , , ,145,39, ,3766.0, ,5408.0,110677.0
116,Venezuela,175,+4,9 , ,84,82,6,6.0,0.3,139282.0,4898.0
117,Martinique,155,+1,6 , ,50,99,19,413.0,16.0, , 
118,Djibouti,150,+10,1 , ,36,113, ,152.0,1.0,3740.0,3785.0
119,Guadeloupe,143, ,8 , ,67,68,13,357.0,20.0, , 
120,Brunei ,136,+1,1 , ,99,36,3,311.0,2.0,9342.0,21354.0
121,Paraguay,129,+5,6 ,+1,18,105,1,18.0,0.8,2262.0,317.0
122,Gibraltar,127,+4, , ,69,58,1,3770.0, ,1543.0,45799.0
123,Guatemala,126,+31,3 , ,17,106,3,7.0,0.2,1134.0,63.0
124,Cambodia,119, , , ,72,47,1,7.0, ,5768.0,345.0
125,Rwanda,118,+5, , ,7,111, ,9.0, ,806.0,62.0
126,El Salvador,117,+14,6 , ,15,96,4,18.0,0.9, , 
127,Trinidad and Tobago,109, ,8 , ,1,100, ,78.0,6.0,1045.0,747.0
128,Madagascar,93, , , ,11,82,1,3.0, , , 
129,Monaco,90,+6,1 , ,5,84,4,2293.0,25.0, , 
130,Mali,87,+13,7 , ,22,58, ,4.0,0.3, , 
131,Aruba,86,+4, , ,27,59, ,805.0, ,1058.0,9910.0
132,French Guiana,83, , , ,43,40,1,278.0, , , 
133,Liechtenstein,79,+1,1 , ,55,23, ,2072.0,26.0,900.0,23605.0
134,Togo,76,+3,3 , ,25,48, ,9.0,0.4,2069.0,250.0
135,Barbados,67,+1,4 ,+1,11,52,4,233.0,14.0,736.0,2561.0
136,Ethiopia,65,+9,3 ,+1,4,58,1,0.6,0.03,3232.0,28.0
137,Jamaica,63, ,4 , ,13,46, ,21.0,1.0,907.0,306.0
138,Congo,60, ,5 , ,5,50, ,11.0,0.9, , 
139,Uganda,53, , , , ,53, ,1.0, ,3310.0,72.0
140,French Polynesia,51, , , , ,51, ,182.0, ,744.0,2649.0
141,Sint Maarten,50,+7,8 ,+2,3,39,2,1166.0,187.0,134.0,3125.0
142,Bermuda,48, ,4 , ,25,19,2,771.0,64.0,354.0,5684.0
143,Cayman Islands,45, ,1 , ,6,38, ,685.0,15.0,479.0,7288.0
144,Macao,45, , , ,10,35,1,69.0, , , 
145,Gabon,44, ,1 , ,1,42, ,20.0,0.4, , 
146,Bahamas,42,+1,8 , ,5,29,1,107.0,20.0, , 
147,Zambia,40,+1,2 ,+1,25,13,1,2.0,0.1,1239.0,67.0
148,Guyana,37, ,6 , ,8,23,4,47.0,8.0,145.0,184.0
149,Liberia,37,+6,5 ,+1,3,29, ,7.0,1.0, , 
150,Guinea-Bissau,36, , , , ,36, ,18.0, ,1500.0,762.0
151,Benin,35,+9,1 , ,5,29, ,3.0,0.08, , 
152,Eritrea,34,+1, , , ,34, ,10.0, , , 
153,Tanzania,32,+7,3 ,+2,5,24, ,0.5,0.05, , 
154,Saint Martin,32, ,2 , ,11,19,5,828.0,52.0, , 
155,Haiti,31,+1,2 , , ,29, ,3.0,0.2,365.0,32.0
156,Myanmar,27,+4,3 , ,2,22, ,0.5,0.06,1406.0,26.0
157,Libya,24, ,1 , ,8,15, ,3.0,0.1,492.0,72.0
158,Antigua and Barbuda,21,+2,2 , , ,19,1,214.0,20.0,40.0,408.0
159,Somalia,21,+9,1 , ,1,19, ,1.0,0.06, , 
160,Mozambique,20,+3, , ,2,18, ,0.6, ,483.0,15.0
161,Angola,19, ,2 , ,2,15, ,0.6,0.06, , 
162,Syria,19, ,2 , ,4,13, ,1.0,0.1, , 
163,Maldives,19, , , ,13,6, ,35.0, , , 
164,Equatorial Guinea,18, , , ,3,15, ,13.0, ,854.0,609.0
165,New Caledonia,18, , , ,1,17, ,63.0, ,2608.0,9135.0
166,Sudan,17,+2,2 , ,2,13, ,0.4,0.05, , 
167,Dominica,16,+1, , ,5,11, ,222.0, ,309.0,4293.0
168,Fiji,16,+1, , , ,16, ,18.0, , , 
169,Laos,16, , , , ,16, ,2.0, ,1035.0,142.0
170,Mongolia,16, , , ,4,12, ,5.0, , , 
171,Namibia,16, , , ,3,13, ,6.0, ,362.0,142.0
172,Saint Lucia,15,+1, , ,1,14, ,82.0, , , 
173,Curaçao,14, ,1 , ,7,6, ,85.0,6.0, , 
174,Grenada,14,+2, , , ,14,2,124.0, ,92.0,818.0
175,Zimbabwe,13,+2,3 , , ,10, ,0.9,0.2,438.0,29.0
176,Botswana,13, ,1 , , ,12, ,6.0,0.4,1154.0,491.0
177,Saint Kitts and Nevis,12,+1, , , ,12, ,226.0, ,205.0,3853.0
178,St. Vincent Grenadines,12, , , ,1,11, ,108.0, ,56.0,505.0
179,Eswatini,12, , , ,7,5, ,10.0, , , 
180,Chad,11, , , ,2,9, ,0.7, , , 
181,Greenland,11, , , ,11,0, ,194.0, ,770.0,13564.0
182,Seychelles,11, , , , ,11, ,112.0, , , 
183,Belize,10,+1,2 ,+1, ,8,1,25.0,5.0,364.0,915.0
184,Suriname,10, ,1 , ,4,5, ,17.0,2.0, , 
185,MS Zaandam,9, ,2 , , ,7, , , , , 
186,Malawi,9,+1,1 , , ,8,1,0.5,0.05, , 
187,Nepal,9, , , ,1,8, ,0.3, ,3524.0,121.0
188,Montserrat,9, , , , ,9,1,1803.0, ,36.0,7212.0
189,Turks and Caicos,8, ,1 , , ,7, ,207.0,26.0,61.0,1576.0
190,CAR,8, , , , ,8, ,2.0, , , 
191,Vatican City,8, , , ,2,6, ,9988.0, , , 
192,Sierra Leone,8,+1, , , ,8, ,1.0, , , 
193,Cabo Verde,7, ,1 , ,1,5, ,13.0,2.0, , 
194,Mauritania,7, ,1 , ,2,4, ,2.0,0.2,380.0,82.0
195,Nicaragua,7, ,1 , , ,6, ,1.0,0.2, , 
196,St. Barth,6, , , ,1,5, ,607.0, , , 
197,Bhutan,5, , , ,2,3, ,6.0, ,1166.0,1511.0
198,Falkland Islands,5, , , ,1,4, ,1437.0, ,137.0,39368.0
199,Gambia,4, ,1 , ,2,1, ,2.0,0.4, , 
200,Sao Tome and Principe,4, , , , ,4, ,18.0, ,19.0,87.0
201,South Sudan,4,+1, , , ,4, ,0.4, , , 
202,Western Sahara,4, , , , ,4, ,7.0, , , 
203,Anguilla,3, , , , ,3, ,200.0, , , 
204,British Virgin Islands,3, , , , ,3, ,99.0, , , 
205,Burundi,3, , , , ,3, ,0.3, , , 
206,Caribbean Netherlands,2, , , , ,2, ,76.0, ,10.0,381.0
207,Papua New Guinea,2, , , , ,2, ,0.2, ,72.0,8.0
208,Timor-Leste,2,+1, , ,1,1, ,2.0, , , 
209,Saint Pierre Miquelon,1, , , , ,1, ,173.0, , , 
210,Yemen,1,+1, , , ,1, ,0.03, , , 
211,China,"81,907", ,"3,336 ", ,"77,455","1,116",144,57.0,2.0, , 
212,Total:,"535,786","+35,566","19,770","+2,113","34,377","481,639","11,905", , , , 
213,Total:,"820,104","+41,252","70,094","+4,276","196,782","553,228","30,232", , , , 
214,Total:,"274,564","+10,625","10,221",+324,"133,960","130,383","6,575", , , , 
215,Total:,"44,976","+5,371","1,809",+194,"4,619","38,548",876, , , , 
216,Total:,"7,573",+96,55,+3,"3,515","4,003",79, , , , 
217,Total:,"13,531",+651,697,+65,"2,234","10,600",153, , , , 
218,Total:,721, ,13, ,619,89,10, , , , 
219,Total:,"1,697,255","+93,561","102,659","+6,975","376,106","1,218,490","49,830",217.7,13.2, , 
