,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
0,World,"1,412,356","+66,352","1,412,356","+6,443","301,166","1,030,093","47,901",181,10.4, , 
1,USA,"386,587","+19,583","386,587","+1,404","21,316","352,996","9,150","1,168",37,"2,011,915","6,078"
2,Spain,"140,511","+3,836","140,511",+556,"43,208","83,406","7,069","3,005",297,"355,000","7,593"
3,Italy,"135,586","+3,039","135,586",+604,"24,392","94,067","3,792","2,243",283,"755,445","12,495"
4,France,"109,069","+11,059","109,069","+1,417","19,337","79,404","7,131","1,671",158,"224,254","3,436"
5,Germany,"107,458","+4,083","107,458",+173,"36,081","69,394","4,895","1,283",24,"918,460","10,962"
6,Iran,"62,589","+2,089","62,589",+133,"27,039","31,678","3,987",745,46,"211,136","2,514"
7,UK,"55,242","+3,634","55,242",+786,135,"48,948","1,559",814,91,"266,694","3,929"
8,Turkey,"34,109","+3,892","34,109",+76,"1,582","31,802","1,474",404,9,"228,868","2,714"
9,Switzerland,"22,253",+596,"22,253",+56,"8,704","12,728",391,"2,571",95,"167,429","19,346"
10,Belgium,"22,194","+1,380","22,194",+403,"4,157","16,002","1,260","1,915",176,"80,512","6,947"
11,Netherlands,"19,580",+777,"19,580",+234,250,"17,229","1,424","1,143",123,"86,589","5,053"
12,Canada,"17,840","+1,173","17,840",+52,"3,935","13,530",426,473,10,"346,507","9,181"
13,Austria,"12,616",+319,"12,616",+23,"4,046","8,327",243,"1,401",27,"115,235","12,795"
14,Brazil,"12,610",+427,"12,610",+22,127,"11,897",296,59,3,"54,824",258
15,Portugal,"12,442",+712,"12,442",+34,184,"11,913",271,"1,220",34,"121,256","11,892"
16,S. Korea,"10,331",+47,"10,331",+6,"6,694","3,445",55,202,4,"477,304","9,310"
17,Israel,"9,248",+344,"9,248",+8,770,"8,413",149,"1,068",8,"117,339","13,557"
18,Sweden,"7,693",+487,"7,693",+114,205,"6,897",640,762,59,"54,700","5,416"
19,Russia,"7,497","+1,154","7,497",+11,494,"6,945",8,51,0.4,"795,000","5,448"
20,Australia,"5,919",+24,"5,919",+3,"2,547","3,324",93,232,2,"310,700","12,184"
21,Norway,"5,903",+38,"5,903",+13,32,"5,782",78,"1,089",16,"113,896","21,009"
22,Ireland,"5,709",+345,"5,709",+36,25,"5,474",165,"1,156",43,"42,484","8,604"
23,India,"5,311",+533,"5,311",+14,421,"4,740", ,4,0.1,"140,293",102
24,Chile,"5,116",+301,"5,116",+6,898,"4,175",337,268,2,"57,122","2,988"
25,Denmark,"5,071",+390,"5,071",+16,"1,491","3,377",127,875,35,"58,419","10,086"
26,Czechia,"4,944",+122,"4,944",+10,172,"4,684",86,462,8,"91,247","8,521"
27,Poland,"4,848",+435,"4,848",+22,191,"4,528",50,128,3,"92,215","2,437"
28,Romania,"4,417",+360,"4,417",+21,460,"3,760",274,230,10,"43,578","2,265"
29,Pakistan,"4,009",+243,"4,009",+3,429,"3,524",28,18,0.3,"39,183",177
30,Malaysia,"3,963",+170,"3,963",+1,"1,321","2,579",92,122,2,"55,566","1,717"
31,Japan,"3,906", ,"3,906", ,592,"3,222",79,31,0.7,"46,172",365
32,Philippines,"3,764",+104,"3,764",+14,84,"3,503",1,34,2,"22,958",210
33,Ecuador,"3,747", ,"3,747", ,100,"3,456",156,212,11,"13,039",739
34,Luxembourg,"2,970",+127,"2,970",+3,500,"2,426",35,"4,745",70,"25,702","41,059"
35,Peru,"2,954",+393,"2,954", ,"1,301","1,561",109,90,3,"21,555",654
36,Saudi Arabia,"2,795",+190,"2,795",+3,615,"2,139",41,80,1, , 
37,Indonesia,"2,738",+247,"2,738",+12,204,"2,313", ,10,0.8,"14,354",52
38,Serbia,"2,447",+247,"2,447",+3,118,"2,268",109,280,7,"9,626","1,102"
39,Mexico,"2,439",+296,"2,439",+31,633,"1,681",89,19,1.0,"20,475",159
40,UAE,"2,359",+283,"2,359",+1,186,"2,161",1,239,1,"220,000","22,244"
41,Finland,"2,308",+132,"2,308",+7,300,"1,974",81,417,6,"34,900","6,299"
42,Thailand,"2,258",+38,"2,258",+1,888,"1,343",61,32,0.4,"71,860","1,030"
43,Panama,"2,100", ,"2,100", ,14,"2,031",88,487,13,"10,297","2,386"
44,Qatar,"2,057",+225,"2,057",+2,150,"1,901",37,714,2,"41,818","14,515"
45,Dominican Republic,"1,956",+128,"1,956",+12,33,"1,825",147,180,9,"4,542",419
46,Greece,"1,832",+77,"1,832",+2,269,"1,482",90,176,8,"28,584","2,742"
47,South Africa,"1,749",+63,"1,749",+1,95,"1,641",7,29,0.2,"58,098",980
48,Argentina,"1,628", ,"1,628",+3,338,"1,234",96,36,1,"11,778",261
49,Iceland,"1,586",+24,"1,586", ,559,"1,021",11,"4,648",18,"28,991","84,957"
50,Colombia,"1,579", ,"1,579", ,88,"1,445",76,31,0.9,"27,685",544
51,Singapore,"1,481",+106,"1,481", ,377,"1,098",29,253,1,"65,000","11,110"
52,Algeria,"1,468",+45,"1,468",+20,113,"1,162",46,33,4,"3,359",77
53,Ukraine,"1,462",+143,"1,462",+7,28,"1,389",16,33,1,"6,385",146
54,Egypt,"1,322", ,"1,322", ,259,978, ,13,0.8,"25,000",244
55,Croatia,"1,282",+60,"1,282",+2,167,"1,097",35,312,4,"12,322","3,002"
56,Morocco,"1,184",+64,"1,184",+10,93,"1,001",1,32,2,"5,437",147
57,New Zealand,"1,160",+54,"1,160", ,241,918,14,241,0.2,"42,826","8,881"
58,Estonia,"1,149",+41,"1,149",+2,69,"1,059",12,866,16,"23,546","17,750"
59,Iraq,"1,122",+91,"1,122",+1,373,684, ,28,2,"26,331",655
60,Slovenia,"1,059",+38,"1,059",+6,102,921,30,509,17,"29,455","14,168"
61,Moldova,"1,056",+91,"1,056",+3,40,994,80,262,5,"5,108","1,266"
62,Hong Kong,936,+21,936, ,236,696,12,125,0.5,"96,709","12,900"
63,Lithuania,880,+37,880, ,8,857,11,323,6,"27,807","10,215"
64,Belarus,861,+161,861, ,54,794,31,91,1,"43,000","4,551"
65,Armenia,853,+20,853, ,87,758,30,288,3,"5,140","1,735"
66,Hungary,817,+73,817,+9,71,699,17,85,5,"23,746","2,458"
67,Bahrain,811,+55,811,+1,458,348,4,477,3,"47,684","28,023"
68,Bosnia and Herzegovina,764,+90,764,+4,68,663,4,233,10,"6,911","2,106"
69,Kuwait,743,+78,743, ,105,637,23,174,0.2, , 
70,Azerbaijan,717,+76,717,+1,44,665,23,71,0.8,"53,300","5,257"
71,Diamond Princess,712, ,712, ,619,82,10, , , , 
72,Kazakhstan,697,+35,697, ,51,640,16,37,0.3,"54,767","2,917"
73,Cameroon,658, ,658, ,17,632, ,25,0.3, , 
74,Tunisia,623,+27,623,+1,25,575,39,53,2,"7,725",654
75,North Macedonia,599,+29,599,+3,30,543,15,288,12,"5,879","2,822"
76,Slovakia,581,+47,581, ,13,566,3,106,0.4,"17,639","3,231"
77,Bulgaria,577,+28,577,+1,42,512,21,83,3,"15,899","2,288"
78,Lebanon,548,+7,548, ,62,467,29,80,3,"10,221","1,497"
79,Latvia,548,+6,548,+1,16,530,5,291,1,"22,575","11,969"
80,Andorra,525, ,525, ,31,473,12,"6,795",272, , 
81,Uzbekistan,504,+47,504, ,30,472,8,15,0.06, , 
82,Cyprus,494,+29,494, ,47,438,13,409,7,"13,017","10,781"
83,Costa Rica,467, ,467, ,18,447,14,92,0.4,"5,363","1,053"
84,Afghanistan,423,+56,423,+3,18,391, ,11,0.4, , 
85,Uruguay,415, ,415, ,123,286,14,119,2,"5,385","1,550"
86,Cuba,396,+46,396,+2,27,358,15,35,1.0,"7,054",623
87,Albania,383,+6,383,+1,131,230,7,133,8,"2,753",957
88,Taiwan,376,+3,376, ,61,310, ,16,0.2,"40,702","1,709"
89,Oman,371,+40,371, ,67,302,3,73,0.4, , 
90,Burkina Faso,364, ,364, ,108,238, ,17,0.9, , 
91,Jordan,353,+4,353, ,138,209,5,35,0.6,"17,000","1,666"
92,Réunion,349, ,349, ,40,309,4,390, , , 
93,Channel Islands,335,+12,335, ,34,294, ,"1,927",40,"1,157","6,655"
94,Ivory Coast,323, ,323, ,41,279, ,12,0.1, , 
95,Honduras,305,+7,305, ,6,277,10,31,2, , 
96,Malta,293,+52,293, ,5,288,4,664, ,"10,923","24,738"
97,Ghana,287,+73,287, ,31,251,2,9,0.2, , 
98,San Marino,277, ,277, ,35,210,14,"8,164",943,586,"17,270"
99,Mauritius,268,+24,268, ,8,253,3,211,6,"4,913","3,863"
100,Palestine,261,+7,261, ,42,218, ,51,0.2,"15,140","2,968"
101,Niger,253, ,253, ,26,217, ,10,0.4,"4,081",169
102,Vietnam,249,+4,249, ,123,126,8,3, ,"106,399","1,093"
103,Montenegro,241,+8,241, ,4,235,7,384,3,"2,014","3,207"
104,Nigeria,238, ,238, ,35,198,2,1,0.02,"5,000",24
105,Senegal,237,+11,237, ,105,130,1,14,0.1, , 
106,Kyrgyzstan,228,+12,228, ,33,191,5,35,0.6,"9,618","1,474"
107,Georgia,196,+8,196,+1,46,147,6,49,0.8,"2,762",692
108,Bolivia,194,+11,194,+3,2,178,3,17,1,591,51
109,Sri Lanka,185,+7,185,+1,42,137,5,9,0.3,"3,248",152
110,Faeroe Islands,184,+1,184, ,120,64,2,"3,766", ,"5,035","103,043"
111,Kenya,172,+14,172, ,7,159,2,3,0.1,"4,973",92
